Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Brown,Mixed,Unknown,Wildlife,Other,365,,A726078
Other,Domestic,Spayed Female,Owner Surrender,Other,60,*Princess Peach,A807130
Black,Terrier,Intact Female,Stray,Austin Area,365,,A784375
Black,Mixed,Intact Male,Stray,Austin Area,30,*Dopey,A707681
White,Mixed,Neutered Male,Stray,Austin Area,1095,Friend,A788881
White,Mixed,Intact Male,Stray,Austin Area,730,*Hank,A705601
Brown,Mixed,Neutered Male,Stray,Austin Area,730,Tigger,A728857
Black,Mixed,Intact Female,Stray,Austin Area,60,*Dallas,A757879
Black,Mixed,Neutered Male,Stray,Austin Area,365,,A744408
Other,Mixed,Intact Female,Owner Surrender,Austin Area,90,*Precious,A665800
Black,Mixed,Intact Female,Stray,Austin Area,2555,Gigi,A750594
Black,Labrador,Intact Female,Stray,Other,90,,A796595
Gray,Other,Neutered Male,Public Assist,Austin Area,2555,Bauer,A757675
Black,Domestic,Intact Female,Stray,Austin Area,28,*Solange,A823878
Other,Terrier,Spayed Female,Stray,Austin Area,3650,Flor,A653297
White,Mixed,Intact Female,Stray,Austin Area,365,*Girly,A676116
Black,Mixed,Intact Female,Stray,Austin Area,730,Tilly,A758780
White,Terrier,Intact Female,Stray,Austin Area,2190,Daisy Mae,A772015
Gray,Domestic,Intact Male,Stray,Austin Area,28,,A794878
White,Mixed,Spayed Female,Public Assist,Austin Area,1095,Coda,A738040
Black,Mixed,Spayed Female,Owner Surrender,Other,2190,Willa,A732105
Brown,Other,Unknown,Wildlife,Austin Area,365,,A816311
White,Domestic,Intact Male,Stray,Austin Area,365,,A802486
Black,Labrador,Intact Male,Stray,Austin Area,240,,A762803
Brown,Mixed,Intact Female,Stray,Austin Area,14,,A781049
White,Domestic,Intact Female,Owner Surrender,Other,365,*Artemis,A824113
Black,Mixed,Spayed Female,Stray,Austin Area,730,Stella,A744621
White,Mixed,Spayed Female,Stray,Austin Area,365,Cobes,A713234
Other,Mixed,Spayed Female,Public Assist,Austin Area,2920,Little Bit,A739237
Black,Domestic,Neutered Male,Stray,Austin Area,90,*Charlie,A819446
Black,Mixed,Intact Female,Owner Surrender,Austin Area,150,Molly,A771401
Black,Terrier,Intact Male,Stray,Austin Area,365,,A804245
Black,Mixed,Intact Male,Stray,Austin Area,60,,A694335
Brown,Mixed,Intact Male,Stray,Austin Area,1460,Lucious,A744906
White,Mixed,Intact Male,Stray,Austin Area,210,*Shelby,A759449
White,Mixed,Intact Male,Stray,Austin Area,30,*Greyson,A749619
Black,Mixed,Intact Female,Stray,Austin Area,730,Cake,A764450
White,Mixed,Intact Female,Stray,Austin Area,180,Ki,A813331
Tan,Mixed,Intact Male,Stray,Austin Area,30,Chedder Bill,A777762
Black,Mixed,Intact Male,Stray,Austin Area,60,Cooper,A767244
Other,Mixed,Intact Female,Stray,Austin Area,21,*Juniper,A712231
Black,Shepherd,Intact Female,Stray,Austin Area,150,Coco,A799024
Black,Terrier,Intact Male,Public Assist,Austin Area,730,Tramp,A754171
Gray,Mixed,Intact Male,Stray,Austin Area,7,,A710651
Brown,Mixed,Unknown,Wildlife,Austin Area,365,,A755283
Black,Mixed,Neutered Male,Stray,Austin Area,2555,,A668300
Black,Mixed,Intact Female,Owner Surrender,Austin Area,60,,A742601
Gray,Other,Intact Female,Owner Surrender,Austin Area,240,Kiwi,A763638
Other,Mixed,Spayed Female,Stray,Austin Area,365,,A680289
Black,Mixed,Intact Male,Stray,Austin Area,30,*Finnegan,A748192
Black,Labrador,Intact Male,Stray,Austin Area,150,Dexter,A745757
Orange,Mixed,Intact Male,Public Assist,Austin Area,7,,A705706
White,Mixed,Intact Female,Owner Surrender,Other,21,*Lady,A799287
White,Mixed,Neutered Male,Owner Surrender,Austin Area,365,Luke,A785591
Tan,Mixed,Intact Male,Stray,Other,0,Riggs,A719808
White,Mixed,Intact Female,Stray,Austin Area,90,,A684037
Brown,Mixed,Intact Male,Stray,Other,30,*Harrier,A751945
Brown,Mixed,Unknown,Stray,Austin Area,0,,A751357
Brown,Mixed,Neutered Male,Owner Surrender,Austin Area,1095,Shade,A732340
Orange,Mixed,Intact Female,Stray,Austin Area,30,Lilly,A776734
Gray,Mixed,Unknown,Stray,Austin Area,0,,A750324
Other,Mixed,Unknown,Stray,Austin Area,7,,A769678
Black,Mixed,Intact Female,Stray,Austin Area,365,,A732145
Black,Mixed,Intact Male,Public Assist,Austin Area,730,Jj,A750777
Black,Mixed,Intact Female,Public Assist,Austin Area,60,,A749812
Other,Mixed,Intact Female,Stray,Austin Area,60,Paprika,A689969
Orange,Mixed,Intact Male,Stray,Austin Area,150,Izzy,A705868
Black,Domestic,Neutered Male,Public Assist,Austin Area,1095,Hank,A799645
Black,Mixed,Intact Male,Stray,Other,30,Scout,A759775
Gray,Mixed,Intact Male,Stray,Austin Area,365,,A772889
White,Other,Intact Male,Stray,Other,120,,A675319
Black,Mixed,Intact Male,Stray,Austin Area,90,,A774118
Black,Mixed,Intact Male,Stray,Austin Area,210,Monty,A702056
Brown,Mixed,Intact Male,Stray,Other,730,*Dwight,A675509
Brown,Terrier,Intact Male,Stray,Austin Area,60,,A689474
White,Mixed,Neutered Male,Stray,Austin Area,3650,Krash,A671864
Black,Shepherd,Intact Female,Stray,Other,365,Sandy,A675255
Gray,Domestic,Intact Male,Stray,Austin Area,30,*Carter,A823833
Brown,Mixed,Intact Male,Stray,Austin Area,1095,Dollar,A718538
Tan,Mixed,Neutered Male,Public Assist,Austin Area,3285,Paco,A738277
Other,Mixed,Intact Female,Owner Surrender,Pflugerville,730,Momma,A738506
White,Mixed,Spayed Female,Public Assist,Other,1825,Andy,A764599
White,Mixed,Intact Female,Stray,Austin Area,60,Pepper,A753509
Brown,Mixed,Neutered Male,Stray,Austin Area,210,Langdon,A792072
Brown,Mixed,Neutered Male,Stray,Austin Area,1095,Jb,A721336
Other,Domestic,Intact Female,Stray,Manor,730,,A806417
Brown,Mixed,Intact Female,Stray,Austin Area,365,Storm,A767536
